ONIMI,OKOOD,MNIMI,MKOOD,AREA,MEHED,NAISED,KOKKU,DENSITY
Juuru vald,0240,Rapla maakond,0070,151927214.98370683,741,721,1462,9.62
Järva-Jaani vald,0257,Järva maakond,0051,126367554.94396432,772,770,1542,12.2
Järvakandi vald,0260,Rapla maakond,0070,4838963.354342387,569,672,1241,256.46
Jõelähtme vald,0245,Harju maakond,0037,210711113.29632947,3273,3065,6338,30.08
Jõgeva linn,0249,Jõgeva maakond,0049,3923399.6362549835,2393,2912,5305,1352.14
Jõgeva vald,0248,Jõgeva maakond,0049,457552666.51027066,2191,2209,4400,9.62
Jõhvi vald,0251,Ida-Viru maakond,0044,123513053.52308625,5422,6404,11826,95.75
Kadrina vald,0272,Lääne-Viru maakond,0059,352777865.46043545,2533,2530,5063,14.35
Kaiu vald,0277,Rapla maakond,0070,260278983.44234917,654,605,1259,4.84
Kallaste linn,0279,Tartu maakond,0078,2265293.514757689,417,427,844,372.58
Kambja vald,0282,Tartu maakond,0078,188426417.67521948,1295,1291,2586,13.72
Kanepi vald,0285,Põlva maakond,0065,230784502.77106962,1286,1179,2465,10.68
Kareda vald,0288,Järva maakond,0051,91366795.0194384,311,288,599,6.56
Karksi vald,0600,Viljandi maakond,0084,320870566.5982403,1678,1669,3347,10.43
Karula vald,0289,Valga maakond,0082,229224568.9270741,504,470,974,4.25
Kasepää vald,0657,Jõgeva maakond,0049,41235860.99438277,612,611,1223,29.66
Kehtna vald,0292,Rapla maakond,0070,505598927.2587667,2216,2202,4418,8.74
Keila linn,0296,Harju maakond,0037,11186815.03957076,4599,5262,9861,881.48
Keila vald,0295,Harju maakond,0037,178950067.04843667,2422,2484,4906,27.42
Kernu vald,0297,Harju maakond,0037,174227028.58835384,1102,979,2081,11.94
Kihelkonna vald,0301,Saare maakond,0074,247035382.0981935,408,362,770,3.12
Kihnu vald,0303,Pärnu maakond,0067,17275488.495878797,348,353,701,40.58
Kiili vald,0304,Harju maakond,0037,100060914.73536482,2615,2508,5123,51.2
Kiviõli linn,0309,Ida-Viru maakond,0044,11770193.599475227,2440,2907,5347,454.28
Koeru vald,0314,Järva maakond,0051,236224125.09302133,1065,1046,2111,8.94
Kohila vald,0317,Rapla maakond,0070,229392238.4440372,3605,3457,7062,30.79
Kohtla vald,0320,Ida-Viru maakond,0044,101226248.66656978,780,784,1564,15.45
Kohtla-Järve linn,0322,Ida-Viru maakond,0044,41661244.9374618,16353,19753,36106,866.66
Kohtla-Nõmme vald,0323,Ida-Viru maakond,0044,4624609.995007568,491,504,995,215.15
Koigi vald,0325,Järva maakond,0051,203609783.5677487,497,449,946,4.65
Kolga-Jaani vald,0328,Viljandi maakond,0084,312427780.0397033,750,670,1420,4.55
Konguta vald,0331,Tartu maakond,0078,107243336.44397031,764,646,1410,13.15
Koonga vald,0334,Pärnu maakond,0067,438317041.5793332,567,508,1075,2.45
Kose vald,0338,Harju maakond,0037,531153523.28002167,3557,3626,7183,13.52
Kullamaa vald,0342,Lääne maakond,0057,223836466.1335459,575,529,1104,4.93
Kunda linn,0345,Lääne-Viru maakond,0059,10048196.777538192,1453,1672,3125,311
Kuressaare linn,0349,Saare maakond,0074,15455248.842922248,6220,7415,13635,882.22
Kuusalu vald,0353,Harju maakond,0037,707159605.3831899,3341,3249,6590,9.32
Käina vald,0368,Hiiu maakond,0039,188119411.61356372,1082,1014,2096,11.14
Käru vald,0375,Rapla maakond,0070,214282773.8782109,323,290,613,2.86
Kõlleste vald,0354,Põlva maakond,0065,149864072.31483465,586,503,1089,7.27
Kõo vald,0357,Viljandi maakond,0084,148998451.55640557,528,517,1045,7.01
Kõpu vald,0360,Viljandi maakond,0084,258196321.15058765,320,303,623,2.41
Laekvere vald,0381,Lääne-Viru maakond,0059,351117058.19008636,759,730,1489,4.24
Laeva vald,0383,Tartu maakond,0078,232460871.23919627,374,382,756,3.25
Laheda vald,0385,Põlva maakond,0065,91173554.02489129,621,563,1184,12.99
Laimjala vald,0386,Saare maakond,0074,116698169.9632935,383,323,706,6.05
Lasva vald,0389,Võru maakond,0086,171751818.58225122,883,843,1726,10.05
Leisi vald,0403,Saare maakond,0074,347934435.5388928,1052,974,2026,5.82
Lihula vald,0411,Lääne maakond,0057,374167064.628724,1135,1127,2262,6.05
Lohusuu vald,0420,Ida-Viru maakond,0044,103993710.69070801,370,329,699,6.72
Loksa linn,0424,Harju maakond,0037,3803916.4838785157,1356,1382,2738,719.78
Luunja vald,0432,Tartu maakond,0078,131411411.20063013,2152,2099,4251,32.35
Lääne-Nigula vald,0439,Lääne maakond,0057,518871672.9876223,2117,2017,4134,7.97
Lääne-Saare vald,0433,Saare maakond,0074,807018694.5798506,3715,3471,7186,8.9
Lüganuse vald,0438,Ida-Viru maakond,0044,437224972.4524874,1449,1496,2945,6.74
Maardu linn,0446,Harju maakond,0037,23364164.223338563,7492,8104,15596,667.52
Martna vald,0452,Lääne maakond,0057,269805752.3164937,411,350,761,2.82
Meeksi vald,0454,Tartu maakond,0078,143279277.90038037,335,257,592,4.13
Meremäe vald,0460,Võru maakond,0086,133794603.14464858,570,505,1075,8.03
Mikitamäe vald,0465,Põlva maakond,0065,104127881.14763185,530,455,985,9.46
Misso vald,0468,Võru maakond,0086,187962099.39311415,354,276,630,3.35
Mooste vald,0473,Põlva maakond,0065,184561465.34995243,752,700,1452,7.87
Muhu vald,0478,Saare maakond,0074,207305767.98688567,994,893,1887,9.1
Mustjala vald,0483,Saare maakond,0074,235020449.4230729,377,312,689,2.93
Mustvee linn,0485,Jõgeva maakond,0049,5674860.982108984,642,677,1319,232.43
Mäetaguse vald,0498,Ida-Viru maakond,0044,284237730.54126924,852,894,1746,6.14
Mäksa vald,0501,Tartu maakond,0078,133122837.9100738,890,862,1752,13.16
Märjamaa vald,0504,Rapla maakond,0070,864843090.3173988,3302,3249,6551,7.57
Mõisaküla linn,0490,Viljandi maakond,0084,2208115.848537477,382,402,784,355.05
Mõniste vald,0493,Võru maakond,0086,175737942.1310533,450,404,854,4.86
Narva linn,0511,Ida-Viru maakond,0044,68496525.98919235,26994,32466,59460,868.07
Narva-Jõesuu linn,0513,Ida-Viru maakond,0044,10195499.94914515,1392,1478,2870,281.5
Nissi vald,0517,Harju maakond,0037,252301938.18229315,1402,1480,2882,11.42
Noarootsi vald,0520,Lääne maakond,0057,302536457.1157848,463,400,863,2.85
Nõo vald,0528,Tartu maakond,0078,168611779.6269022,2120,2050,4170,24.73
Nõva vald,0531,Lääne maakond,0057,129325256.0553822,198,164,362,2.8
Orava vald,0547,Põlva maakond,0065,174918814.36695668,364,351,715,4.09
Orissaare vald,0550,Saare maakond,0074,163137999.2822783,914,903,1817,11.14
Otepää vald,0636,Valga maakond,0082,216652566.71703207,1922,2013,3935,18.16
Padise vald,0562,Harju maakond,0037,366427753.39649314,914,826,1740,4.75
Paide linn,0566,Järva maakond,0051,10100219.483244741,3795,4553,8348,826.52
Paide vald,0565,Järva maakond,0051,299675435.4276936,901,787,1688,5.63
Paikuse vald,0568,Pärnu maakond,0067,174887317.91930643,1892,2014,3906,22.33
Pajusi vald,0573,Jõgeva maakond,0049,231780657.92355794,660,588,1248,5.38
Pala vald,0576,Jõgeva maakond,0049,156138416.13305604,565,524,1089,6.97
Palamuse vald,0578,Jõgeva maakond,0049,215076903.00591415,1064,1039,2103,9.78
Paldiski linn,0580,Harju maakond,0037,59732523.76099508,1756,2050,3806,63.72
